Gene,mean_1_aerobic_t30_2_chlor, std_1_aerobic_t30_2_chlor,mean_1_aerobic_t60_2_chlor, std_1_aerobic_t60_2_chlor,mean_1_aerobic_t180_2_chlor, std_1_aerobic_t180_2_chlor,mean_1_aerobic_t30_6_nor, std_1_aerobic_t30_6_nor,mean_1_aerobic_t60_6_nor, std_1_aerobic_t60_6_nor,mean_1_aerobic_t180_6_Nor, std_1_aerobic_t180_6_Nor
ybiC, 0.228, 0.500, 0.580, 0.375, 0.208, 0.178, -0.271, 0.533, -0.763, 0.992, -0.992, 0.404
ytfT, 0.428, 0.511, 0.683, 0.604, 0.209, 0.404, -0.821, 1.078, -0.997, 1.986, -0.808, 0.341
uvrB, -0.004, 0.612, 0.105, 0.284, -0.377, 0.524, -1.701, 2.055, -0.902, 0.706, -1.067, 0.902
yfdR, -1.535, 1.602, 0.069, 0.694, 0.678, 1.043, -1.695, 2.039, -inf, nan, -0.239, 1.684
aroF, -0.011, 0.590, 0.616, 0.145, 0.114, 0.344, -0.283, 0.218, 0.187, 0.800, -0.631, 0.215
yzfA, -0.450, 1.348, 0.275, 0.496, 0.204, 0.273, -0.616, 0.816, -0.438, 1.111, -1.553, 0.970
metH, 0.185, 0.832, 0.241, 0.251, 0.113, 0.321, -0.210, 0.523, -1.289, 0.295, -0.609, 0.282
yjiJ, 0.041, 0.275, 0.303, 0.311, 0.133, 0.328, -0.614, 0.324, -0.620, 0.393, -0.640, 0.425
ydfR, inf, nan, 0.817, 0.870, 0.714, 0.840, inf, nan, -inf, nan, -0.800, 0.495
yhhQ, 0.530, 0.660, 0.363, 0.484, 0.431, 0.480, -0.082, 1.240, -0.222, 0.967, -0.680, 0.629
frvX, -0.649, 0.689, 0.493, 1.109, -0.148, 0.226, -1.050, 0.361, -0.468, 1.484, -0.850, 0.395
betB, 0.346, 0.400, 0.312, 0.166, 0.304, 0.373, -0.098, 0.467, -0.158, 0.566, -0.790, 0.542
yfiE, -0.645, 0.949, 0.553, 0.790, -0.366, 0.231, -0.919, 0.712, -2.027, 0.879, -0.960, 0.341
wbbJ, -0.417, 0.324, 0.015, 0.330, -0.980, 1.095, -0.913, 0.726, -0.419, 0.836, -0.735, 0.103
ynjA, -inf, nan, inf, nan, inf, nan, -inf, nan, inf, nan, inf, nan
mazF, 0.203, 0.695, 0.418, 0.637, 0.467, 0.305, 0.144, 1.101, -0.525, 0.373, -0.405, 0.851
adiA, -0.674, 1.022, 0.414, 0.258, -0.504, 0.922, -1.099, 0.967, -0.949, 0.500, -1.433, 0.922
nadA, -0.074, 0.558, 0.359, 0.652, 0.261, 0.294, -0.192, 0.982, -0.760, 0.889, -0.618, 0.133
yafL, -0.967, 0.587, 0.308, 0.167, 0.477, 0.525, -1.011, 1.156, -0.319, 0.264, -0.086, 0.833
tnaB, 0.259, 0.887, 0.216, 0.212, 0.828, 1.308, 0.411, 1.381, 0.236, 1.511, 0.085, 1.780
cusS, 0.043, 0.631, 0.238, 0.376, 0.091, 0.324, -0.438, 0.869, -0.710, 0.800, -0.303, 0.146
rsmF, 1.025, 2.027, 0.218, 0.082, 0.159, 0.459, -0.419, 1.943, -0.632, 1.160, -0.448, 0.413
mug, inf, nan, 0.301, 0.471, 0.277, 0.182, inf, nan, 0.008, 1.943, -1.038, 0.270
nuoM, inf, nan, 0.521, 0.293, 0.906, 1.547, inf, nan, -0.326, 0.999, -0.107, 2.305
yjjG, -0.457, 0.744, 0.156, 0.222, 0.221, 0.430, -0.909, 0.737, 0.236, 0.536, -1.079, 0.400
thiE, 0.219, 0.860, 0.745, 0.220, 0.135, 0.517, -0.847, 1.477, -0.185, 1.229, -0.232, 0.353
yadC, 0.321, 0.709, 0.092, 1.410, 0.470, 0.368, -0.598, 1.842, -1.451, 1.070, -0.078, 0.650
cmoA, -0.088, 0.707, 0.382, 0.468, 0.811, 1.397, -1.003, 2.022, -1.580, 2.842, -0.463, 0.203
yeaN, 0.306, 0.319, 0.188, 0.311, 0.366, 0.167, -0.386, 0.355, -0.498, 0.746, -0.522, 0.593
fumB, -0.003, 1.108, 0.318, 0.273, 0.045, 0.581, -0.483, 1.344, -0.443, 1.337, -1.054, 0.492
waaZ, -inf, nan, 0.656, 0.559, inf, nan, -inf, nan, -inf, nan, inf, nan
ydiY, -0.078, 0.876, 0.618, 0.678, 0.036, 0.441, 0.391, 1.403, -1.194, 1.811, -1.085, 1.000
queE, -0.300, 1.667, 0.798, 0.343, 0.220, 0.325, -0.976, 1.601, -0.570, 1.349, -0.165, 0.420
dkgB, -0.677, 0.533, 0.560, 0.533, 0.261, 0.365, -0.619, 0.682, -0.842, 0.617, -0.640, 0.746
pabA, -0.164, 0.849, 0.185, 0.458, -0.322, 0.725, -1.237, 0.785, -inf, nan, -0.462, 1.268
murD, inf, nan, inf, nan, nan, nan, inf, nan, nan, nan, nan, nan
gnsA, -0.224, 0.443, 0.016, 0.773, 0.089, 0.188, -0.614, 0.687, -1.136, 0.343, -0.510, 0.634
nhaA, -0.029, 1.098, 0.338, 0.380, 0.208, 0.332, -0.300, 0.806, -1.182, 1.103, -0.520, 0.542
yhaI, -0.902, 1.513, 0.683, 0.585, 0.171, 0.297, -0.336, 0.907, -inf, nan, -inf, nan
yddK, -0.967, 0.972, 0.244, 0.647, 0.134, 0.142, -2.038, 0.755, -0.661, 1.215, -0.249, 0.902
nfuA, 0.284, 0.665, 0.386, 0.225, 0.098, 0.163, 0.753, 0.605, -0.570, 0.967, 0.149, 0.484
argF, -0.240, 0.963, 0.088, 0.351, 0.164, 0.216, 0.106, 0.775, -inf, nan, -inf, nan
yhhW, 0.065, 1.879, -0.230, 0.469, 0.229, 1.160, 0.319, 0.921, -inf, nan, 0.034, 1.262
nemR, 0.297, 0.651, 0.608, 0.406, 0.312, 0.443, -0.413, 0.802, 0.159, 0.612, -0.503, 0.449
ymfE, nan, nan, inf, nan, -inf, nan, inf, nan, nan, nan, -inf, nan
yaaU, -0.619, 0.862, 0.450, 0.153, 0.187, 0.369, -1.131, 1.287, -0.734, 0.151, -0.612, 0.389
ycaR, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
putP, 0.275, 0.410, 0.763, 0.302, 0.217, 0.354, 0.264, 0.145, 0.089, 0.627, -0.633, 0.427
appC, -0.356, 1.799, 0.874, 0.714, 0.945, 1.305, 0.142, 2.225, 0.158, 2.024, 0.290, 1.923
yfjL, -0.364, 0.954, 0.965, 1.802, -0.367, 1.246, -1.598, 2.105, -inf, nan, -1.288, 0.964
chaA, 0.176, 0.848, 0.452, 0.227, 0.390, 0.137, -0.323, 1.334, -0.834, 0.369, -0.440, 0.379
yaiX, 0.156, 2.245, 0.648, 0.197, -0.010, 0.649, -0.310, 3.955, -inf, nan, -0.845, 0.990
ygeO, -1.329, 2.213, 1.132, 0.788, 0.074, 0.577, -inf, nan, -inf, nan, -inf, nan
hha, -1.211, 1.095, 0.531, 0.442, 0.812, 0.746, -0.937, 0.695, -0.739, 1.185, 0.447, 1.142
potC, -inf, nan, 0.748, 1.238, 0.077, 0.406, -0.632, 1.363, -0.181, 1.083, -0.316, 0.556
atoA, -0.646, 0.433, 0.871, 0.480, 0.466, 0.421, -0.172, 0.696, -0.245, 0.943, -0.556, 1.074
ydiM, -0.164, 1.575, 0.385, 0.149, 0.113, 0.096, -0.282, 1.592, -inf, nan, -1.041, 0.705
yiaM, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
lplA, -0.079, 0.486, 0.530, 0.290, 0.148, 0.225, -0.934, 0.824, -1.084, 0.742, -1.004, 0.504
ycfT, -0.349, 0.927, 0.509, 0.334, 0.389, 0.391, -0.280, 0.781, -0.466, 0.261, -0.198, 0.674
tamB, 0.662, 0.416, 0.297, 0.218, 0.666, 1.234, 0.157, 1.016, -0.307, 0.924, -0.070, 1.444
yfaD, -0.678, 1.524, 1.327, 1.665, 1.025, 1.007, -inf, nan, -inf, nan, 0.745, 0.877
yadD, 0.108, 1.682, 0.807, 0.647, 0.283, 0.437, 0.133, 1.025, -0.035, 0.615, -0.783, 0.588
mrcA, 0.013, 0.971, 0.415, 0.182, 0.318, 0.148, -0.081, 0.698, -0.283, 0.919, -0.362, 0.310
gnd, -0.426, 0.801, 0.516, 0.665, 0.647, 0.270, -0.527, 0.292, -0.468, 1.186, -0.241, 0.342
mutT, -0.118, 1.064, 0.549, 0.478, 0.055, 0.552, -0.150, 0.931, -0.200, 1.085, -0.569, 0.257
fadR, 0.404, 0.775, 0.641, 0.234, 0.138, 0.321, -0.627, 1.401, -1.184, 1.561, -0.781, 0.595
yqcE, -0.258, 1.794, 0.237, 0.155, 0.074, 0.241, -1.019, 1.358, -1.026, 1.162, -inf, nan
ydjE, -0.522, 0.923, 1.008, 0.748, -0.265, 0.887, -0.817, 0.935, -0.091, 0.579, -0.650, 0.391
hdeD, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
proV, 0.151, 0.319, 0.390, 0.194, 0.331, 0.403, -0.532, 0.895, -0.873, 0.266, -0.396, 0.570
hscC, -0.412, 0.885, 0.175, 0.657, -0.036, 0.726, -inf, nan, -1.482, 2.063, -inf, nan
ygiF, 0.682, 0.960, 0.294, 0.531, 0.183, 0.780, 0.666, 1.950, -1.444, 1.096, -0.457, 0.348
ycbZ, -inf, nan, 0.448, 0.335, -0.054, 0.861, -0.313, 1.244, -inf, nan, -inf, nan
ycjF, 0.410, 0.444, 0.598, 0.455, 0.463, 0.757, -inf, nan, -inf, nan, -0.795, 0.997
yqeC, -0.800, 0.478, 0.145, 0.103, 0.170, 0.632, -0.825, 0.824, -0.685, 0.227, -0.671, 0.593
yfcI, -0.817, 1.350, 0.449, 0.327, 0.510, 1.500, -0.566, 1.126, -inf, nan, 0.199, 1.261
yjaZ, -0.699, 0.490, -0.336, 1.327, 0.140, 0.690, -0.640, 0.957, -inf, nan, -0.258, 0.676
rppH, 0.969, 1.015, 0.878, 0.753, 1.615, 0.636, 0.107, 1.257, -1.526, 2.607, 1.207, 1.172
lpxD, inf, nan, 2.338, 1.954, inf, nan, inf, nan, 0.604, 1.138, inf, nan
psiE, 0.589, 0.251, 0.288, 0.284, 0.103, 0.297, -0.525, 0.802, -0.365, 0.406, -0.852, 0.422
cueO, 0.165, 0.507, 0.673, 0.192, 0.143, 0.622, 0.052, 0.464, -1.158, 1.735, -0.985, 0.518
yhfK, 0.403, 0.785, 0.784, 0.306, 0.623, 0.236, 0.272, 1.541, -0.198, 0.337, -0.974, 0.354
gutQ, 0.048, 0.235, 0.493, 0.576, 0.218, 0.236, -0.243, 0.654, -0.705, 0.810, -1.192, 0.445
yaaJ, -0.544, 0.912, 0.328, 0.364, -0.075, 0.177, -0.813, 1.103, -0.349, 0.651, -0.670, 0.522
ytfQ, -0.173, 0.857, 0.042, 0.233, 0.095, 0.254, -0.312, 0.585, -0.662, 0.827, -0.944, 0.215
pstA, 0.495, 0.348, 0.168, 0.331, 0.203, 0.201, 0.793, 0.627, 0.919, 0.918, 0.415, 0.793
ynfG, -0.128, 0.546, 0.322, 0.314, 0.454, 0.399, -0.601, 1.689, -1.073, 0.392, -0.707, 0.308
yfiC, 0.336, 0.266, 0.768, 0.339, 0.240, 0.189, 0.118, 0.442, -0.179, 0.714, -0.713, 0.125
lsrB, 0.426, 0.693, 0.142, 0.355, 0.378, 0.550, 0.599, 0.145, -0.371, 0.225, -0.291, 0.503
arnF, 0.541, 0.244, 0.635, 0.098, 0.177, 0.290, 0.129, 0.775, 0.019, 0.187, -0.467, 0.302
wcaL, -0.399, 0.787, 0.029, 0.700, 0.267, 0.516, -0.404, 0.299, -0.740, 0.716, -0.566, 0.429
fdnI, -0.046, 0.760, 0.380, 0.267, 0.151, 0.187, -0.362, 0.442, 0.074, 0.798, -0.845, 0.110
ispD, inf, nan, 3.713, 2.794, inf, nan, inf, nan, 3.097, 3.074, inf, nan
chbF, -0.560, 0.933, 0.503, 0.281, -0.135, 0.688, -0.699, 0.860, 0.107, 1.064, -0.891, 0.337
yhdH, 1.102, 1.860, 0.614, 1.040, 0.508, 0.466, 0.392, 1.695, 0.226, 2.071, -1.436, 1.274
leuA, 0.050, 0.398, 0.848, 0.123, 0.562, 0.266, -0.555, 0.844, 0.536, 1.248, -0.049, 0.346
ycgM, -0.990, 1.182, 0.582, 0.332, 0.450, 0.094, -1.775, 1.329, 0.054, 1.292, -0.697, 0.230
uidR, 0.293, 0.755, 0.732, 0.399, 0.315, 0.976, 0.326, 0.875, 0.138, 0.577, -0.451, 0.618
insH-5, inf, nan, inf, nan, -inf, nan, inf, nan, inf, nan, -inf, nan
insH-11, -0.451, 1.432, 0.463, 0.410, 0.188, 0.288, -1.023, 1.923, -0.285, 0.196, -0.560, 0.314
yijO, 0.799, 0.591, 0.608, 0.495, 1.089, 1.564, 0.704, 1.281, 0.884, 0.595, 0.841, 2.360
yigG, nan, nan, inf, nan, inf, nan, nan, nan, nan, nan, inf, nan
zwf, 0.948, 1.059, 1.581, 1.148, 3.195, 0.880, -0.209, 1.843, 0.918, 0.993, 2.302, 1.086
bglJ, -1.383, 0.460, 0.305, 0.464, -0.703, 0.735, -1.707, 0.353, -0.910, 0.444, -0.765, 0.478
yjgX_1, -1.397, 1.683, 0.469, 0.838, 0.045, 0.908, -0.518, 1.656, -inf, nan, -1.257, 0.830
tyrS, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
basR, 0.615, 0.625, 0.529, 0.090, 0.217, 0.146, 0.019, 1.140, 0.096, 0.462, -0.370, 0.423
yahB, -0.137, 0.396, 0.395, 0.427, -0.042, 0.121, -0.491, 0.693, -0.693, 0.738, -1.048, 0.489
caiT, -0.412, 0.580, 0.257, 0.246, 0.012, 0.231, -0.103, 0.398, -0.105, 0.769, -0.962, 0.663
yagA, 0.469, 1.010, inf, nan, 0.908, 0.595, 0.179, 0.773, inf, nan, 0.133, 0.967
pflC, 0.682, 0.249, 0.457, 0.214, 0.183, 0.301, 0.310, 0.429, 0.053, 0.592, -0.506, 0.212
yihN, -1.175, 0.478, 0.253, 0.247, -0.261, 0.729, -1.248, 0.304, -0.785, 0.543, -1.331, 0.969
hisJ, 0.683, 0.666, 0.338, 0.249, 0.354, 0.049, 0.298, 0.735, -0.504, 0.279, -0.533, 0.162
hypB, 0.259, 0.453, 0.597, 0.315, 0.460, 0.613, -0.486, 0.225, -0.183, 0.683, -0.732, 0.343
bolA, 0.068, 0.803, -0.110, 0.227, 0.231, 0.183, -0.965, 0.413, -1.295, 0.622, -0.245, 0.364
ybjD, 0.598, 0.620, 0.201, 0.596, 0.085, 0.063, 0.167, 0.978, -inf, nan, -0.402, 0.343
gspD, 0.594, 0.758, 0.337, 0.295, 0.144, 0.214, 0.145, 0.996, -0.342, 0.557, -0.481, 0.614
paaH, 0.550, 1.320, 0.432, 0.181, 0.487, 0.515, 0.272, 1.452, -0.258, 1.086, -0.360, 0.653
pgpB, -0.105, 0.265, 0.599, 0.301, 0.307, 0.237, -0.636, 0.847, -0.662, 0.521, -0.947, 0.577
csgA, -0.947, 1.502, 0.704, 0.596, 0.193, 0.208, -1.213, 1.701, -0.324, 0.441, -0.678, 0.384
ecpD, -inf, nan, -inf, nan, 0.698, 0.581, -0.190, 1.249, 0.261, 1.090, 0.635, 1.000
glnH, -0.182, 0.839, 0.440, 0.136, 0.256, 0.328, -0.382, 0.360, -0.733, 0.804, -0.889, 0.375
ydiH, -0.288, 0.882, 1.588, 0.427, -0.087, 0.652, -0.245, 1.256, -inf, nan, -1.084, 0.795
birA, inf, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
tyrB, -0.537, 0.407, 0.564, 0.285, 0.082, 0.374, -0.895, 0.899, -0.373, 1.218, -0.771, 0.674
yhbO, -0.653, 1.732, inf, nan, -0.332, 1.792, -inf, nan, inf, nan, -0.942, 1.492
cspF, 0.441, 0.851, 0.991, 0.717, 0.772, 0.465, -0.865, 1.163, -inf, nan, -0.273, 0.597
ldhA, 0.546, 1.082, 0.680, 0.636, 0.729, 1.458, 0.740, 1.275, -0.124, 1.532, -0.391, 1.162
ydhL, 0.353, 0.356, -0.173, 0.950, 0.285, 0.838, -0.901, 0.635, -inf, nan, -0.718, 0.779
nadD, 1.105, 0.233, 1.060, 0.665, inf, nan, 1.091, 0.517, 1.388, 1.670, inf, nan
yjiQ, 0.396, 1.503, -0.103, 0.539, -0.202, 0.800, 0.012, 1.642, -1.904, 1.784, -1.171, 0.558
fliN, 0.333, 0.429, 0.355, 0.117, 0.225, 0.236, 0.144, 0.753, -0.246, 0.549, -0.521, 0.250
yfaS_1, -0.318, 1.492, -0.361, 0.364, 0.076, 0.838, -0.718, 2.033, -inf, nan, -1.037, 1.109
yfjH, nan, nan, inf, nan, -inf, nan, nan, nan, nan, nan, -inf, nan
yidF, inf, nan, 0.588, 0.528, -0.060, 0.335, inf, nan, -inf, nan, -0.264, 0.467
yqjG, inf, nan, 0.312, 0.235, 0.316, 1.905, inf, nan, -inf, nan, -0.441, 2.107
idnK, 0.241, 1.850, -0.008, 0.676, -0.371, 0.794, 0.125, 2.083, -0.742, 1.412, -0.854, 1.122
chpB, 0.104, 0.988, 0.969, 0.486, 0.410, 0.768, -0.154, 1.170, -inf, nan, -0.947, 0.181
ybfD, -0.418, 0.811, -0.013, 0.335, -0.170, 0.624, -0.458, 0.919, -0.161, 0.663, -1.114, 1.054
bcp, -0.367, 0.935, inf, nan, inf, nan, -inf, nan, inf, nan, inf, nan
mntP, -0.614, 1.564, 0.379, 0.362, 0.060, 0.496, -0.169, 1.231, -0.870, 1.536, -0.723, 1.397
yodB, -inf, nan, 0.646, 0.425, 0.270, 0.332, -1.159, 2.503, -inf, nan, -0.075, 0.725
yfdV, -0.215, 0.478, 0.336, 0.139, 0.103, 0.260, -0.451, 0.908, -0.398, 0.635, -0.554, 0.354
mutS, nan, nan, inf, nan, 0.525, 0.601, nan, nan, nan, nan, -inf, nan
agaC, -0.268, 0.549, 0.500, 0.883, -0.194, 0.211, -0.628, 0.869, -0.891, 0.203, -0.941, 0.268
cysZ, -0.397, 1.271, 0.630, 1.180, 0.622, 0.828, -1.088, 2.002, 0.194, 1.237, -0.490, 0.778
ypfH, 0.299, 0.932, 0.556, 0.231, 0.099, 0.385, -0.945, 1.712, -0.434, 1.911, -0.770, 0.808
nupG, -0.424, 0.899, 0.154, 0.133, -0.264, 0.485, -1.299, 1.015, -0.865, 0.656, -1.118, 0.346
glpG, 1.320, 0.748, 0.371, 0.597, 0.022, 0.287, 0.878, 1.841, 0.088, 0.799, -0.325, 0.471
rimO, -0.100, 0.329, 0.336, 0.603, -0.204, 0.142, -0.368, 1.113, -inf, nan, -0.947, 0.720
hpf, -0.200, 0.429, 0.244, 0.376, 1.030, 0.489, 0.443, 0.472, -0.498, 1.051, 0.633, 0.632
lpoA, 0.489, 0.635, 0.030, 0.434, 0.297, 0.786, 0.559, 1.228, -0.101, 2.331, 0.287, 0.350
yiaN, 0.320, 0.417, 0.553, 0.653, 0.313, 0.482, 0.430, 0.351, -1.028, 1.526, -1.117, 0.283
yfeO, 0.233, 0.183, 0.428, 0.544, 0.294, 0.215, 0.345, 0.940, 0.329, 0.787, -0.294, 0.446
ycaM, 0.221, 0.024, 0.699, 0.357, 0.121, 0.242, 0.015, 0.386, 0.100, 0.862, -0.683, 0.440
yjeJ, -0.734, 1.541, 0.255, 0.560, 0.182, 0.592, -1.112, 0.829, -1.117, 0.688, -0.459, 0.692
cdsA, inf, nan, inf, nan, nan, nan, inf, nan, nan, nan, nan, nan
gstB, inf, nan, 0.896, 0.809, inf, nan, inf, nan, -inf, nan, inf, nan
mutH, 1.331, 1.784, 0.082, 0.534, 0.754, 0.277, 1.300, 1.964, -1.802, 1.796, -0.232, 0.445
yhbX, -1.107, 2.359, 0.065, 1.006, -0.092, 0.963, -inf, nan, -inf, nan, -0.498, 0.756
elaD, -1.327, 1.666, 0.072, 0.825, -0.001, 0.599, -0.807, 1.307, -0.126, 1.495, -0.486, 1.039
ychN, 0.482, 0.451, 0.543, 0.723, 0.918, 0.644, 0.346, 0.942, 0.114, 0.676, 0.123, 0.817
mreD, 1.513, 1.082, inf, nan, inf, nan, 0.878, 2.013, nan, nan, inf, nan
yaiW, 0.502, 0.588, 0.463, 0.230, 0.133, 0.132, 0.112, 0.612, -1.311, 1.584, -0.414, 0.741
yfbO, -1.327, 0.898, 0.823, 0.853, -0.182, 0.643, -0.370, 0.708, -0.740, 1.661, -0.034, 0.944
ybaL, 0.077, 0.381, 0.222, 0.260, 0.102, 0.243, -0.140, 0.690, 0.007, 1.576, -1.007, 0.503
ygaQ_1, -0.363, 0.525, 0.802, 0.410, 0.082, 0.316, -0.632, 0.807, -0.200, 0.276, -0.661, 0.348
rcsB, -0.174, 0.454, 0.252, 0.383, 0.176, 0.703, -0.016, 0.393, -0.252, 0.745, -0.421, 0.352
ykgM, 0.295, 0.928, 0.648, 0.620, 0.273, 0.506, -0.013, 1.379, 0.752, 1.671, -0.859, 0.547
hycH, 0.372, 0.776, 0.702, 0.417, 0.488, 0.386, 0.206, 0.949, 0.148, 0.796, -0.125, 1.042
ybcL, -0.513, 1.722, inf, nan, inf, nan, 0.500, 2.340, nan, nan, inf, nan
menH, 0.825, 0.450, 0.472, 0.283, 0.471, 0.486, 1.148, 0.966, -0.605, 1.498, -0.377, 0.395
artP, 0.658, 0.272, 0.090, 0.236, -0.029, 0.508, 0.256, 0.802, -0.368, 0.307, 0.004, 0.586
ftnB, -0.421, 0.471, 0.150, 0.701, 0.436, 0.517, -0.499, 0.892, 0.007, 0.216, -0.507, 0.879
ymfK, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan, inf, nan
yhhN, 0.182, 0.609, 0.483, 0.363, 0.044, 0.560, -0.101, 0.090, -0.953, 1.448, -0.556, 0.355
yfdQ, -inf, nan, 0.254, 0.414, -0.350, 0.618, 0.119, 1.296, -inf, nan, -1.357, 1.065
gabP, 0.609, 0.404, 0.732, 0.436, 0.459, 0.283, -0.371, 0.508, -0.526, 0.945, -0.562, 0.187
ryfA, 0.134, 0.273, 0.269, 0.357, -0.046, 0.211, -0.288, 0.234, -0.268, 0.718, -0.908, 0.207
iscA, 0.114, 1.886, 0.309, 0.554, 1.548, 0.418, 0.810, 1.294, 0.530, 1.233, 1.183, 1.068
iscS, 1.225, 0.727, 0.364, 0.868, 1.635, 2.092, 1.663, 1.941, 1.755, 2.536, 1.169, 2.660
ybhQ, 0.220, 0.284, 0.559, 0.387, 0.386, 0.414, -0.683, 0.879, -inf, nan, -0.519, 0.213
yfdS, 0.415, 0.636, 0.524, 0.664, -0.101, 1.335, -inf, nan, 0.614, 1.317, -inf, nan
ybeZ, 1.354, 0.946, 1.380, 0.870, 3.431, 2.057, 2.463, 1.690, 3.942, 3.166, 4.801, 3.272
yjjW, 1.033, 0.225, 0.634, 0.373, 0.285, 0.188, 0.511, 0.555, -0.193, 0.524, -0.518, 0.732
rsmJ, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
rsgA, nan, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
pspB, -0.631, 0.846, 0.358, 0.394, 0.205, 0.261, -1.453, 0.469, -0.351, 0.616, -1.851, 0.888
ydjF, 0.108, 0.655, 0.385, 0.398, 0.169, 0.294, 0.008, 0.445, -0.142, 0.332, -0.611, 0.265
dnaN, inf, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
ppiA, 0.381, 1.047, 0.756, 0.518, -0.057, 0.670, -1.147, 1.158, -inf, nan, -1.820, 1.896
hslR, 0.334, 1.595, 0.790, 0.205, 0.519, 0.556, 0.001, 1.730, -1.002, 1.166, -0.429, 0.585
clsA, 0.001, 1.067, 0.449, 0.140, 0.293, 0.402, -0.442, 0.702, 0.055, 0.284, -0.698, 0.479
sbcC, -0.721, 0.631, 0.699, 0.653, -0.050, 0.751, -0.711, 0.506, -0.472, 0.938, -0.348, 0.472
fhuB, 0.992, 0.323, 0.547, 0.341, 0.453, 0.105, 0.134, 0.595, -0.195, 0.492, -0.505, 0.442
ychQ, 0.393, 1.080, 0.307, 0.281, 0.341, 0.092, 0.023, 1.321, -0.140, 0.759, -0.138, 0.299
yciN, 0.054, 1.131, -0.000, 0.570, 0.111, 0.465, -0.688, 1.305, -1.056, 0.759, -0.615, 0.340
gltA, 0.329, 0.333, -0.198, 0.225, -0.137, 0.308, -0.094, 0.472, -0.089, 0.167, -0.524, 0.605
cbtA, 1.174, 1.629, 0.264, 0.952, 1.304, 1.223, -inf, nan, -inf, nan, -0.875, 0.116
tsgA, -0.481, 0.776, 0.397, 0.337, -0.073, 0.413, -1.157, 1.162, -0.183, 0.848, -0.904, 0.320
hycB, 0.586, 0.746, 0.558, 0.549, 0.195, 0.191, 0.402, 0.429, -0.200, 1.323, -0.633, 0.278
rhaT, 0.780, 0.539, 0.477, 0.316, 0.423, 0.180, 0.271, 0.625, -0.392, 1.195, -0.537, 0.343
rutE, 0.687, 0.927, 0.300, 0.133, 0.368, 0.193, 0.603, 1.084, -0.330, 0.839, -1.070, 0.106
arnC, -1.006, 0.530, 0.405, 0.526, -0.115, 0.239, -0.769, 0.446, -0.020, 0.180, -0.716, 0.309
xanP, 0.252, 0.233, 0.288, 0.490, 0.133, 0.140, -0.087, 0.652, -0.010, 0.442, -1.120, 0.404
yfeN, -inf, nan, -inf, nan, inf, nan, -inf, nan, -inf, nan, inf, nan
xylE, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
fdnG, 0.106, 0.915, 0.478, 0.576, 0.119, 0.218, 0.332, 0.818, 0.174, 0.345, -0.436, 0.502
ydeR, -0.784, 1.494, 0.291, 0.682, 0.818, 0.520, -0.261, 0.844, -inf, nan, -0.147, 0.910
yfaH, -0.343, 1.182, 0.261, 0.076, 0.089, 0.314, -1.077, 1.522, -0.768, 1.396, -0.535, 0.248
yjdN, -0.165, 1.009, 0.349, 0.189, 0.273, 0.593, -0.401, 1.560, 0.028, 0.896, -0.464, 0.890
ydiR, -0.087, 0.762, 0.556, 1.135, 0.116, 0.240, -1.265, 1.794, -0.403, 2.751, -0.328, 0.726
yebA, -0.288, 0.935, 0.631, 0.529, 0.305, 0.265, -0.824, 1.048, -0.565, 1.105, -0.287, 1.035
hofM, 0.058, 0.586, 0.448, 0.391, 0.080, 0.359, -0.687, 1.175, -0.260, 1.506, -0.841, 0.297
tyrA, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
insI-3, -0.568, 1.144, 0.229, 1.014, 0.340, 0.197, -1.769, 1.897, -0.925, 1.936, -1.456, 0.721
ygdH, -0.454, 0.531, 0.768, 0.406, 0.246, 0.212, -1.034, 1.597, -1.087, 1.064, -0.035, 0.608
anmK, 0.110, 0.417, 0.539, 0.452, 0.312, 0.283, -0.465, 0.710, -0.560, 0.346, -0.611, 0.465
purT, 0.846, 0.492, 0.464, 0.516, 0.667, 0.232, 0.292, 0.293, -0.442, 0.423, -0.427, 0.240
alkA, 0.157, 0.469, 0.154, 0.338, 0.359, 0.775, 0.161, 0.563, -1.220, 1.755, -0.493, 0.781
rssA, 0.093, 0.962, 0.665, 0.358, 0.195, 0.273, -0.057, 0.931, -0.049, 0.776, -0.751, 0.525
pspE, 0.182, 1.096, 0.039, 0.301, -0.225, 1.322, -0.115, 1.485, -2.146, 1.417, -1.067, 0.572
ogrK, inf, nan, -0.087, 1.060, inf, nan, inf, nan, -inf, nan, inf, nan
pheS, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
ykgF, 0.394, 0.681, 0.754, 0.610, 0.201, 0.296, 0.053, 0.625, -0.043, 0.710, -0.846, 0.263
